instance,arm,success,calls,input_tokens,cache_read,cache_write,output_tokens,cost_usd
sympy__sympy-23950,A0,1,24,980015,962191,17105,5737,0.441
django__django-16950,A0,0,67,3192148,3099841,91307,30701,1.0865
django__django-15280,A0,1,105,6446737,6346537,98873,44840,2.5397
django__django-12663,A0,0,106,9469099,9260224,159664,121127,5.3413
astropy__astropy-13977,A0,0,24,1005779,980333,23930,5432,0.4699
django__django-11292,A0,1,49,2357084,2295711,60752,11714,0.9188
django__django-15037,A0,1,39,2507031,2403636,100947,29592,1.3554
astropy__astropy-13579,A0,1,21,1145684,1078875,64654,13535,0.7756
django__django-13837,A0,1,21,1017541,974843,41823,22597,0.7909
pylint-dev__pylint-6528,A0,0,102,5692188,5600567,90404,24460,1.991
pydata__xarray-6992,A0,0,7,236637,224915,10800,1202,0.1288
django__django-11141,A0,0,58,3063680,3003082,59916,23372,1.4782
sympy__sympy-14976,A0,1,36,1569124,1504843,54025,10691,0.476
matplotlib__matplotlib-20488,A0,1,47,4269647,4065801,176303,112479,3.6507
sympy__sympy-21612,A0,0,55,4930120,4810174,119148,86767,3.128
django__django-15268,A0,1,72,3928920,3797937,112507,42533,1.8164
django__django-16263,A0,0,127,9938641,9673690,204049,133167,5.6019
sympy__sympy-23413,A0,1,31,2821688,2639567,181510,105428,3.0558
matplotlib__matplotlib-26208,A0,1,96,5838830,5725981,111391,51419,2.4642
django__django-13121,A0,1,62,3142819,3092031,49896,23744,1.4736
django__django-12754,A0,1,61,3069797,2961168,82665,16428,1.1163
astropy__astropy-13453,A0,1,19,808575,786378,19275,3662,0.3719
matplotlib__matplotlib-22871,A0,1,28,1442516,1407256,34335,11187,0.7215
pydata__xarray-4966,A0,1,31,1431848,1402660,27212,5823,0.6161
psf__requests-5414,A0,1,18,627262,610770,15541,4406,0.3105
sphinx-doc__sphinx-10435,A0,1,45,1607756,1541526,64763,18636,0.6753
pylint-dev__pylint-4604,A0,0,53,2335426,2280015,54521,15169,0.8748
sphinx-doc__sphinx-8548,A0,1,91,5471438,5323269,120747,30343,1.996
django__django-16899,A0,1,23,939565,921576,17324,3979,0.4031
astropy__astropy-8707,A0,0,25,961303,912015,48606,3912,0.5166
sphinx-doc__sphinx-7440,A0,0,105,6240722,6135254,92115,35867,2.5574
sympy__sympy-22456,A0,1,109,11227182,10925322,159048,129468,6.2445
sympy__sympy-15599,A0,0,24,1221478,1112362,83229,32204,1.2065
astropy__astropy-13236,A0,0,123,8520792,8407616,111949,49887,3.4589
matplotlib__matplotlib-24177,A0,1,56,4061076,3990685,69314,33024,1.9557
sympy__sympy-18211,A0,0,70,3332349,3259143,72443,22158,1.274
matplotlib__matplotlib-20826,A0,1,130,10255280,10102176,151750,66087,4.1139
django__django-16454,A0,1,29,1230071,1200286,28717,11964,0.6504
django__django-14122,A0,1,51,2467171,2375250,72299,20206,0.9831
sphinx-doc__sphinx-10614,A0,0,42,3175514,3096177,77887,51371,1.9958
sphinx-doc__sphinx-8593,A0,1,65,3172697,3079692,64923,24626,1.4855
astropy__astropy-13033,A0,0,15,589407,571341,16848,4251,0.302
django__django-11734,A0,0,84,5445353,5301110,130007,56427,2.3691
django__django-11555,A0,1,67,3897260,3744164,107579,46246,1.9539
